draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,gov_18_dem_mil,gov_18_rep_moo,uss_18_dem_rin,uss_18_rep_bra,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
32,2,682228,553997,0.001539242,0.9601,0.23114,603766,20743,15305,1747,10879,211,2425,27152,500845,13195,10284,1420,8668,168,1822,17595,198855,151356,176922,128707,38765,102004,249347,159807,202955,190481,151356,198855,115356,107843,175144,226151,1,0,173369,146471,0.5420,0.5095,0.8,1.0,0,-0.0922682
33,1,683762,557435,0.003791218,0.9591,0.23620,622058, 9508,11862,5589, 5781,199,2066,26699,514747, 6162, 7732,4201,4695,176,1599,18123,158796,183686,143283,143111,27614,121277,185505,199335,144516,225568,183686,158796,132194, 85449,212451,165010,1,1,131943,174595,0.4304,0.4044,0.2,1.0,0,-0.0932779
33,2,678597,552650,0.003791218,0.9591,0.23910,606206,15607,14747,1704,10887,208,2364,26874,502757,10389, 9924,1402,8641,156,1766,17615,198939,151907,177679,129200,38654,102224,249565,161432,202725,192074,151907,198939,115712,108166,176753,226145,1,1,173512,147368,0.5407,0.5082,0.8,1.0,0,-0.0932779
34,1,684465,558302,0.004823251,0.9382,0.20539,627216, 4920,11669,5565, 5792,195,2038,27070,518014, 3702, 7579,4188,4664,161,1542,18452,157553,184631,142505,143523,27353,121864,183679,201646,142609,227477,184631,157553,132694, 84929,214562,163144,1,2,130740,175828,0.4265,0.4008,0.0,0.8,0, 0.0031936
34,2,677894,551783,0.004823251,0.9382,0.16772,601048,20195,14940,1728,10876,212,2392,26503,499490,12849,10077,1415,8672,171,1823,17286,200182,150962,178457,128788,38915,101637,251391,159121,204632,190165,150962,200182,115212,108686,174643,228011,1,2,174715,146135,0.5445,0.5117,0.8,0.8,0, 0.0031936
35,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
35,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
36,1,678462,553451,0.003989404,0.9458,0.17438,605576,15088,15347,1788,11140,188,2371,26964,502934,10160,10324,1460,8911,156,1764,17742,201257,150331,180216,128915,38720,101556,252060,160268,204809,191393,150331,201257,115235,109468,175830,228434,1,1,175412,146493,0.5449,0.5119,0.8,0.8,0, 0.0015989
36,2,683897,556634,0.003989404,0.9458,0.17893,622688,10027,11262,5505, 5528,219,2059,26609,514570, 6391, 7332,4143,4425,176,1601,17996,156478,185262,140746,143396,27548,121945,183010,200499,142432,226249,185262,156478,132671, 84147,213374,162721,1,1,130043,175470,0.4257,0.4002,0.0,0.8,0, 0.0015989
37,1,678402,555008,0.004077486,0.9762,0.25441,622752, 4536,11414,5491, 5829,187,2047,26146,515475, 3507, 7519,4122,4710,158,1580,17937,162069,182747,148134,143380,27577,121031,190159,199024,147863,225907,182747,162069,132205, 87855,212466,169011,0,0,135160,174418,0.4366,0.4096,0.2,1.0,0,-0.0905407
37,2,683957,555077,0.004077486,0.9762,0.29193,605512,20579,15195,1802,10839,220,2383,27427,502029,13044,10137,1481,8626,174,1785,17801,195666,152846,172828,128931,38691,102470,244911,161743,199378,191735,152846,195666,115701,105759,176739,222144,0,0,170295,147545,0.5358,0.5041,0.8,1.0,0,-0.0905407
38,1,678345,553623,0.004161165,0.9620,0.24758,617733, 8845,11611,5549, 5897,212,2087,26411,511423, 5811, 7594,4173,4756,182,1622,18062,159252,181280,144710,141423,27960,119638,185559,197438,144501,223529,181280,159252,130530, 86335,210484,165030,1,1,132396,172662,0.4340,0.4080,0.2,1.0,0,-0.0948407
38,2,684014,556462,0.004161165,0.9620,0.24562,610531,16270,14998,1744,10771,195,2343,27162,506081,10740,10062,1430,8580,150,1743,17676,198483,154313,176252,130888,38308,103863,249511,163329,202740,194113,154313,198483,117376,107280,178721,226125,1,1,173059,149301,0.5368,0.5042,0.8,1.0,0,-0.0948407
39,1,679176,556238,0.002941222,0.9772,0.23780,622293, 4773,11938,5495, 6014,171,2075,26417,515784, 3708, 7933,4104,4924,152,1570,18063,166323,180440,151736,141964,27681,119666,195968,196083,153256,223359,180440,166323,130815, 89708,209721,174612,1,0,138993,172302,0.4465,0.4182,0.2,0.8,0, 0.0130028
