draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,gov_16_rep_gia,gov_16_dem_bul,atg_16_rep_fox,atg_16_dem_jen,sos_16_rep_sta,sos_16_dem_lin,uss_18_rep_ros,uss_18_dem_tes,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_dai,uss_20_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_20_rep_knu,atg_20_dem_gra,sos_20_rep_jac,sos_20_dem_ben,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4211,1,543814,426399,0.0031386474,0.9603,0.2603,25895,456628,3221,24572,4258,472,2124,26644,16873,368390,2441,16042,3544,355,1599,17155,136107, 86823,114579,127224,163778,77603,136792,100325,114009,124591,168090,119676,162935,133980,160643,122761,170032,121197,172987,117187,137813, 97995,114009,124591,166937,122960,2,0,113136,149994,0.4300,0.4303,0.2,0.4,0,0.1586
4211,2,540411,423724,0.0031386474,0.9603,0.2165,19304,444690,1856,40020,3819,367,2250,28105,13035,359163,1340,26675,3122,287,1727,18375,143130, 90883,121533,128706,168986,81365,140678,104533,121952,129281,175509,125107,170234,138479,167901,128096,178287,125824,179948,122428,143583,101372,121952,129281,174376,127987,2,0,117470,156816,0.4283,0.4285,0.2,0.4,0,0.1586
4212,1,541163,419456,0.0017514815,0.9782,0.5492,24845,439867,3183,39502,4280,452,2029,27005,16016,353228,2405,25281,3568,338,1505,17115,139132, 80209,119339,117612,165030,71547,138696, 93930,116311,116606,169035,111014,164606,124196,162285,113234,171253,111992,173330,108640,140549, 90826,116311,116606,168102,113815,2,0,104897,151901,0.4085,0.4087,0.1,0.3,0,0.2067
4212,2,543062,430667,0.0017514815,0.9782,0.3060,20354,461451,1894,25090,3797,387,2345,27744,13892,374325,1376,17436,3098,304,1821,18415,140105, 97497,116773,138319,167734,87421,138774,110929,119651,137267,174564,133769,168563,148263,166259,137624,177065,135030,179606,130974,140847,108541,119651,137267,173211,137132,2,0,125709,154909,0.4480,0.4483,0.2,0.3,0,0.2067
4213,1,540978,420880,0.0020927391,0.9782,0.4518,25062,444213,3220,34860,4262,456,2092,26813,16228,357157,2426,22481,3548,341,1564,17135,141101, 79852,121263,117144,166861,71257,140814, 93176,118638,115847,172138,110809,167792,123839,165428,112957,174308,111651,176469,108323,142509, 90359,118638,115847,171227,113516,0,0,104485,154481,0.4035,0.4037,0.0,0.2,0,0.2549
4213,2,543247,429243,0.0020927391,0.9782,0.2516,20137,457105,1857,29732,3815,383,2282,27936,13680,370396,1355,20236,3118,301,1762,18395,138136, 97854,114849,138787,165903,87711,136656,111683,117324,138026,171461,133974,165377,148620,163116,137900,174010,135371,176466,131292,138887,109008,117324,138026,170086,137432,0,0,126121,152330,0.4529,0.4532,0.2,0.2,0,0.2549
4214,1,542525,428087,0.0007609122,0.9717,0.2273,20081,452944,1849,33308,3822,383,2289,27849,13644,367047,1351,22517,3119,301,1775,18333,136737, 98231,113819,138780,164406,88154,135298,112034,115952,138537,169388,134394,163273,149022,161101,138232,171915,135814,174299,131795,137566,109299,115952,138537,167996,137852,1,1,126499,150619,0.4565,0.4567,0.2,0.2,0,0.2553
4214,2,541700,422036,0.0007609122,0.9717,0.4293,25118,448374,3228,31284,4255,456,2085,26900,16264,360506,2430,20200,3547,341,1551,17197,142500, 79475,122293,117151,168357,70813,142172, 92824,120009,115336,174211,110389,169896,123437,167443,112625,176403,111207,178636,107820,143830, 90068,120009,115336,173318,113096,1,1,104107,156191,0.4000,0.4002,0.0,0.2,0,0.2553
4215,1,542158,428274,0.0000839309,0.9657,0.1717,21498,450575,2653,31953,4153,446,2380,28500,14691,365657,2000,21753,3415,354,1830,18574,135977, 93701,112939,133067,161294,84883,135872,105393,114577,131991,167059,127498,161012,141811,159354,130394,169406,128572,171320,125102,136521,104261,114577,131991,165630,130675,1,0,120241,148881,0.4468,0.4471,0.2,0.3,0,0.2086
4215,2,542067,421849,0.0000839309,0.9657,0.3819,23701,450743,2424,32639,3924,393,1994,26249,15217,361896,1781,20964,3251,288,1496,16956,143261, 84004,123173,122863,171470,74084,141598, 99466,121384,121881,176540,117285,172157,130648,169189,120464,178913,118449,181615,114513,144875, 95106,121384,121881,175683,120272,1,0,110365,157930,0.4114,0.4116,0.1,0.3,0,0.2086
4216,1,540966,426918,0.0021148747,0.9630,0.1911,21163,449514,2610,31957,4151,441,2384,28746,14425,364504,1971,21725,3413,347,1830,18703,135599, 94095,112627,133551,161378,85004,135313,106146,114209,132469,166582,127811,160481,142224,158756,130860,168945,129017,170912,125440,136230,104698,114209,132469,165136,131071,2,0,120661,148480,0.4483,0.4486,0.2,0.2,0,0.2582
4216,2,543259,423205,0.0021148747,0.9630,0.3890,24036,451804,2467,32635,3926,398,1990,26003,15483,363049,1810,20992,3253,295,1496,16827,143638, 83611,123485,122379,171386,73963,142157, 98713,121753,121404,177017,116972,172689,130234,169788,119998,179373,118004,182023,114175,145166, 94668,121753,121404,176178,119877,2,0,109945,158330,0.4098,0.4100,0.0,0.2,0,0.2582
4217,1,543649,430314,0.0028342826,0.9761,0.2358,20884,461833,1855,24756,3863,387,2337,27734,14195,373945,1348,17168,3159,305,1818,18376,139752, 97618,117149,137908,167286,87811,138930,110598,119825,137447,174648,134864,168834,149336,166494,138638,177266,136016,179918,131934,140780,108484,119825,137447,173432,138158,1,0,126217,155010,0.4488,0.4490,0.2,0.3,0,0.2067
4217,2,540576,419809,0.0028342826,0.9761,0.5075,24315,439485,3222,39836,4214,452,2037,27015,15713,353608,2433,25549,3507,337,1508,17154,139485, 80087,118962,118022,165478,71157,138540, 94261,116136,116425,168951,109919,164336,123123,162050,112220,171052,111006,173017,107681,140616, 90883,116136,116425,167881,112790,1,0,104389,151800,0.4075,0.4078,0.1,0.3,0,0.2067
4218,1,541506,421953,0.0011187715,0.9744,0.2998,25289,447943,3222,31356,4284,459,2089,26864,16399,360263,2420,20234,3561,344,1559,17173,142511, 79616,122502,117178,168407,70971,142313, 92879,119934,115481,173813,110593,169461,123663,167068,112783,176044,111415,178225,108036,143933, 90163,119934,115481,172922,113298,1,1,104261,156027,0.4006,0.4008,0.0,0.2,0,0.2554
4218,2,542719,428170,0.0011187715,0.9744,0.2793,19910,453375,1855,33236,3793,380,2285,27885,13509,367290,1361,22483,3105,298,1767,18357,136726, 98090,113609,138753,164357,87997,135157,111979,116028,138392,169786,134190,163708,148796,161476,138074,172275,135607,174710,131578,137463,109204,116028,138392,168391,137650,1,1,126345,150783,0.4559,0.4562,0.2,0.2,0,0.2554
4219,1,542739,435388,0.0011556642,0.9679,0.1894,22426,470112,2035,13900,4400,364,2403,27099,15602,384224,1534, 9918,3645,294,1898,18273,133388,106803,112850,147791,162912,96848,134584,118910,114613,149168,167848,149545,162726,164187,160363,153107,170527,150458,173986,145862,135934,117589,114613,149168,167090,152632,1,1,138268,149379,0.4807,0.4806,0.3,0.3,0,0.1978
4219,2,541486,414735,0.0011556642,0.9679,0.4146,22773,431206,3042,50692,3677,475,1971,27650,14306,343329,2247,32799,3021,348,1428,17257,145850, 70902,123262,108139,169852,62119,142886, 85948,121349,104704,175751, 95238,170443,108272,168180, 97750,177792, 96563,178950, 93753,145462, 81778,121349,104704,174224, 98315,1,1, 92339,157431,0.3697,0.3704,0.0,0.3,0,0.1978
4220,1,543956,429541,0.0034005857,0.9647,0.2508,21141,456484,2714,26808,4308,437,2417,29647,14367,369385,2049,18637,3535,352,1836,19380,137123, 94975,114126,135008,165804,83631,136738,107372,117225,133512,170446,130699,165110,144451,163033,133624,172788,131834,175704,127593,138448,105246,117225,133512,169416,133640,1,0,122270,151810,0.4461,0.4463,0.2,0.3,0,0.2079
4220,2,540269,420582,0.0034005857,0.9647,0.2521,24058,444834,2363,37784,3769,402,1957,25102,15541,358168,1732,24080,3131,290,1490,16150,142114, 82731,121986,120922,166960,75337,140732, 97486,118736,120361,173152,114084,168059,128008,165511,117234,175530,115188,177231,112022,142948, 94121,118736,120361,171897,117307,1,0,108336,155001,0.4114,0.4117,0.1,0.3,0,0.2079
4221,1,542460,429549,0.0006410109,0.9728,0.1931,20573,457352,1864,28291,3843,390,2295,27852,14030,371163,1370,19364,3145,309,1782,18386,137593, 98346,114599,138909,165032,88471,136322,111778,117104,138361,171161,135195,165206,149762,162881,139079,173742,136520,176329,132400,138387,109376,117104,138361,169864,138591,2,0,126882,151997,0.4550,0.4552,0.2,0.2,0,0.2549
