draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
2848,2,919915,664255,0.000393670,0.9856,0.3225,170865,686495, 5871, 9766, 9029,1826,3459,32604,106674,514700,4210, 7101, 7434,1281,2379,20476,199582, 68649,221317, 70669,169754, 84864,180583, 74283,174952, 81559,268406,103216,257441,104898,210449, 69659,175098, 80236,262924,104058,1,1, 84020,210291,0.2855,0.2868,0,0,0,0.1884
2849,1,918661,711048,0.000970037,0.9876,0.2400, 66748,765063, 9055, 9069,17145,1612,4793,45176, 43925,606676,5836, 6777,13678,1194,3589,29373,208556,121396,226979,117821,191515,146782,203841,129404,195261,140970,285048,184847,280517,181896,217768,119609,196873,139052,282782,183372,1,0,146160,227387,0.3913,0.3911,0,0,0,0.1884
2849,2,920445,665352,0.000970037,0.9876,0.2976,172659,685460, 5730, 9834, 8891,1789,3450,32632,107775,514790,4110, 7158, 7330,1248,2338,20603,200499, 68370,222037, 70427,170145, 84300,180948, 73879,175393, 81066,269070,102173,257928,103967,211268, 69398,175497, 79748,263499,103071,1,0, 83454,210860,0.2836,0.2850,0,0,0,0.1884
2850,1,915453,709469,0.004458688,0.9896,0.2448, 67865,760965, 8948, 9105,17115,1613,4790,45052, 44657,604469,5762, 6801,13654,1197,3551,29378,208337,121137,226828,117576,191339,146256,203582,129022,195070,140505,284025,184125,279577,181076,217583,119357,196665,138594,281801,182601,1,0,145671,226965,0.3909,0.3908,0,0,0,0.1884
2850,2,923653,666931,0.004458688,0.9896,0.3253,171542,689558, 5837, 9798, 8921,1788,3453,32756,107043,516997,4184, 7134, 7354,1245,2376,20598,200717, 68629,222188, 70672,170321, 84826,181208, 74261,175583, 81531,270093,102895,258867,104787,211452, 69650,175705, 80206,264481,103842,1,0, 83943,211283,0.2843,0.2858,0,0,0,0.1884
2851,1,921365,713330,0.001970523,0.9884,0.2521, 67639,766602, 9065, 9108,17177,1623,4808,45343, 44500,608172,5844, 6807,13716,1201,3580,29510,208922,121609,227419,118011,191819,147033,204182,129619,195565,141228,285559,185220,280999,182286,218170,119810,197190,139293,283279,183753,1,1,146430,227780,0.3913,0.3911,0,0,0,0.1884
2851,2,917741,663070,0.001970523,0.9884,0.3152,171768,683921, 5720, 9795, 8859,1778,3435,32465,107200,513294,4102, 7128, 7292,1241,2347,20466,200132, 68157,221597, 70237,169841, 84049,180608, 73663,175089, 80808,268559,101800,257446,103577,210865, 69197,175180, 79507,263003,102689,1,1, 83185,210468,0.2833,0.2847,0,0,0,0.1884
2852,1,924032,715232,0.004870845,0.9888,0.2531, 67894,768831, 9071, 9114,17190,1625,4819,45488, 44654,609787,5850, 6813,13723,1203,3591,29611,209698,121726,228167,118139,192475,147200,204864,129764,196249,141380,286615,185364,282008,182463,218933,119934,197864,139448,284311,183914,1,1,146577,228582,0.3907,0.3906,0,0,0,0.1884
2852,2,915074,661168,0.004870845,0.9888,0.3157,171513,681692, 5714, 9789, 8846,1776,3424,32320,107046,511679,4096, 7122, 7285,1239,2336,20365,199356, 68039,220849, 70109,169185, 83882,179925, 73519,174404, 80656,267503,101656,256437,103400,210102, 69074,174506, 79352,261971,102529,1,1, 83037,209666,0.2837,0.2851,0,0,0,0.1884
2853,1,921861,714034,0.002509915,0.9868,0.2417, 69260,765580, 9007, 9169,16959,1616,4792,45478, 45487,607929,5812, 6849,13543,1190,3577,29647,210506,121540,228677,118045,192152,146602,204535,129283,196023,140777,285954,184039,281154,181300,219591,119793,197571,138887,283555,182669,1,1,145941,228428,0.3898,0.3897,0,0,0,0.1884
2853,2,917245,662366,0.002509915,0.9868,0.3202,170147,684943, 5778, 9734, 9077,1785,3451,32330,106213,513537,4134, 7086, 7465,1252,2350,20329,198548, 68226,220339, 70203,169508, 84480,180254, 74000,174630, 81259,268164,102981,257290,104563,209444, 69214,174799, 79913,262727,103773,1,1, 83673,209819,0.2851,0.2864,0,0,0,0.1884
2854,1,919044,711545,0.000553530,0.9888,0.2527, 66868,765266, 9059, 9066,17155,1616,4793,45221, 44039,607001,5840, 6772,13691,1198,3579,29425,208655,121472,227111,117884,191597,146883,203948,129481,195340,141074,285220,184984,280685,182033,217884,119679,196963,139146,282952,183509,1,1,146259,227507,0.3913,0.3912,0,0,0,0.1884
2854,2,920062,664855,0.000553530,0.9888,0.3114,172539,685257, 5726, 9837, 8881,1785,3450,32587,107661,514465,4106, 7163, 7317,1244,2348,20551,200399, 68294,221905, 70364,170063, 84199,180842, 73801,175314, 80962,268898,102036,257760,103830,211152, 69329,175407, 79654,263330,102934,1,1, 83355,210740,0.2834,0.2849,0,0,0,0.1884
2855,1,923851,690128,0.004674010,0.9844,0.3618,147412,693957,11025, 4772,18179,2188,4322,41996, 93246,540208,7110, 3765,14392,1531,3108,26768,182192,110135,198558,107209,167459,137540,183063,117682,173182,130316,244723,171401,239256,171079,190375,108673,174569,128513,241990,171240,1,0,135052,198347,0.4051,0.4040,0,0,0,0.1884
