"","draw","district","total_pop","arv_20","adv_20","arv_16","adv_16","nrv","ndv","prop_dem_2020","prop_dem_2016","prop_dem_all","dist_2020_order","dist_2016_order","dist_all_order","dem_win_all"
"12555","2882",4,707562,171289,174424,140722,134811,152929,149811,0.504534107771475,0.489273517146766,0.494850366651252,3,2,3,0
"12556","2882",6,705578,165056,202225,138301,152953,149808,171463,0.550600221628671,0.525153302615586,0.533702077062667,4,4,4,1
"12557","2882",5,705937,140946,214255,120741,160779,129343,181281,0.603193684702464,0.571110400682012,0.58360268363037,5,5,5,1
"12558","2882",1,706976,65109,330910,63041,260088,64525,289277,0.835591221633305,0.804904542767749,0.817623981775117,6,6,6,1
"12559","2883",1,703233,211630,154386,167559,119310,185824,131993,0.421801232732995,0.415904123484936,0.415311326958596,1,1,1,0
"12560","2883",5,708283,174562,170341,143381,131460,155864,146082,0.49388088824974,0.478312915467488,0.483801739383863,2,2,2,0
"12561","2883",6,709371,189704,194281,154663,157645,168781,170853,0.505959868224019,0.504774133227455,0.503050342427437,3,3,3,1
"12562","2883",2,704510,150617,201035,125821,149969,136207,169504,0.571687349993744,0.543779687443345,0.554458295579812,4,4,4,1
"12563","2883",4,704683,151805,214203,126080,163601,137121,182854,0.585241306200957,0.564762618190354,0.571463395577779,5,5,5,1
"12564","2883",3,707176,69082,333849,70121,261567,70420,291127,0.828551290419451,0.788593497503678,0.805225876580362,6,6,6,1
"12565","2884",2,705403,218634,163764,174544,126751,192833,140136,0.428255377904696,0.420687366202559,0.420868008733546,1,1,1,0
"12566","2884",4,705830,182719,161474,148666,122296,162350,137090,0.46913795457781,0.451340040300854,0.457821266363879,2,2,2,0
"12567","2884",5,706232,180612,184159,147045,142007,161165,157534,0.504861954486513,0.491285305066216,0.494303402269853,3,3,3,0
"12568","2884",3,707068,171415,209188,141363,169245,153491,183925,0.549622572601898,0.544882939267501,0.545098631955805,4,4,4,1
"12569","2884",6,704537,131691,224417,115555,167481,122544,189394,0.630193649117683,0.591730380587628,0.607152703421834,5,5,5,1
"12570","2884",1,708186,62328,325092,60452,255773,61835,284333,0.839120334520675,0.808832318760376,0.821372859420859,6,6,6,1
"12571","2885",5,704700,216643,157205,172595,122833,190791,135133,0.420505125077572,0.415779817755934,0.414615063634467,1,1,1,0
"12572","2885",1,705517,179867,161935,146363,123364,159804,137940,0.473768439037806,0.457366151701535,0.46328389488957,2,2,2,0
"12573","2885",3,706523,188372,189103,152239,152111,166836,165471,0.500968276044771,0.499789715787744,0.497946176276756,3,3,3,0
"12574","2885",6,703221,156050,240564,135241,184754,144479,206215,0.606544398331879,0.577365271332365,0.588019755114145,4,4,4,1
"12575","2885",4,709327,132583,227113,114887,171556,122437,192935,0.631402628886615,0.598918458471668,0.611769592734929,5,5,5,1
"12576","2885",2,707968,73884,292174,66300,228934,69869,254718,0.798163132618328,0.775432368900601,0.784744922008583,6,6,6,1
"12577","2886",3,708356,213259,150643,171431,119562,188434,130546,0.413965847948074,0.410875862993268,0.409260768700232,1,1,1,0
"12578","2886",1,705909,170829,169285,140649,130609,152681,145228,0.497730172824406,0.481493633367495,0.487491146625312,2,2,2,0
"12579","2886",4,704737,192613,195927,154045,155642,169928,170311,0.504264683172904,0.50257840981378,0.500562839650951,3,3,3,1
"12580","2886",5,706153,169756,214357,143810,161947,154998,181737,0.55805713422873,0.529659173788335,0.53970332754243,4,4,4,1
"12581","2886",6,708523,138603,218500,117542,164309,126517,185157,0.61186828450055,0.582964048380172,0.594072652835976,5,5,5,1
"12582","2886",2,703578,62339,319383,60148,251482,61659,279433,0.836690051922603,0.806989057536181,0.819230588814748,6,6,6,1
"12583","2887",6,704554,225325,131202,178286,108939,197173,116050,0.368000179509546,0.379281051440508,0.370502804711021,1,1,1,0
"12584","2887",4,708123,171488,174550,140972,134961,153158,149949,0.504424369577908,0.48910786314069,0.494706489787435,2,2,2,0
"12585","2887",5,704674,178920,214794,145952,165706,159781,184258,0.545558451058383,0.531691790359946,0.535573001898041,3,3,3,1
"12586","2887",1,703047,139913,215628,122091,160200,129681,181530,0.606478577716775,0.56749949520176,0.583302004106539,4,4,4,1
"12587","2887",3,707167,144527,251803,126307,193097,134648,215840,0.6353367143542,0.604554107024333,0.615827075392025,5,5,5,1
"12588","2887",2,709691,87227,280118,74017,220649,79775,244785,0.762547469000531,0.748810517670854,0.75420569386246,6,6,6,1
"12589","2888",1,705679,225423,135712,179029,112802,197566,120221,0.375792986002464,0.386531931151934,0.378306853332578,1,1,1,0
"12590","2888",5,707838,177775,166019,144623,128621,157956,142608,0.482902552109694,0.470718478722314,0.4744680001597,2,2,2,0
"12591","2888",2,707118,173947,219235,142532,168569,155755,187816,0.557591649668601,0.541846538583933,0.546658478160264,3,4,3,1
"12592","2888",6,702996,160862,209230,135310,159335,146348,178148,0.565345913988954,0.540769400464966,0.548999063162566,4,3,4,1
"12593","2888",4,708739,146443,207862,124653,154639,133836,175033,0.586675322109482,0.553682167767068,0.566690085440753,5,5,5,1
"12594","2888",3,704886,62950,330036,61477,259585,62756,288587,0.839816176657693,0.808519849748647,0.821382523630754,6,6,6,1
"12595","2889",4,704090,222316,165530,177812,128380,196218,141809,0.426793108604962,0.419279406385536,0.419519742505776,1,1,1,0
"12596","2889",2,709142,182643,158522,147473,120685,161605,134906,0.464649070098046,0.450051835112135,0.45497806152217,2,2,2,0
"12597","2889",1,707016,179728,183915,146974,142180,160744,157488,0.505757019934386,0.491710299701889,0.494884235400588,3,3,3,0
"12598","2889",5,705677,168328,209621,139109,169085,150963,184028,0.554627740779841,0.548631706003362,0.549352072145222,4,4,4,1
"12599","2889",6,706958,131361,226303,115909,168510,122613,190790,0.632725127493961,0.592470967129482,0.608768901382565,5,5,5,1
"12600","2889",3,704373,63024,324204,60348,254713,62073,283391,0.837243174563823,0.808456140239509,0.820319917560151,6,6,6,1
"12601","289",2,705965,213366,156448,169083,121124,187452,133872,0.423045098346736,0.417371048940928,0.416626209060014,1,1,1,0
"12602","289",3,707128,192507,190123,156393,154080,170910,166985,0.49688471891906,0.496275038409137,0.494191982716524,2,3,2,0
"12603","289",4,704881,170311,173956,139940,134374,152072,149369,0.50529385622206,0.489854692068214,0.495516535574126,3,2,3,0
"12604","289",5,706256,144476,210610,123458,157831,132376,178043,0.593123919275894,0.561099083149359,0.573557030980707,4,4,4,1
"12605","289",6,706464,152133,240627,132428,184673,141278,206114,0.612656584173541,0.582379115802221,0.593318211127487,5,5,5,1
"12606","289",1,706562,74607,296331,66323,231469,70129,258030,0.798869352829853,0.777284144637868,0.786295667648914,6,6,6,1
"12607","2890",5,704466,199074,166895,158694,128985,175500,142732,0.456035893750564,0.448364322734715,0.448515548404937,1,1,1,0
"12608","2890",1,704762,205171,179101,165543,145660,181455,157575,0.466078715076821,0.468054613869404,0.464781877709937,2,2,2,0
"12609","2890",3,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"12610","2890",6,709053,166358,208544,140377,159042,151571,177592,0.556262703319801,0.531168696709294,0.539526009909984,4,4,4,1
"12611","2890",4,705965,142369,212563,121333,158332,130259,179171,0.598883729841209,0.566148785153666,0.579035646188152,5,5,5,1
"12612","2890",2,705468,63155,326596,60969,256745,62518,285555,0.837960646669284,0.808100996493702,0.82038825188969,6,6,6,1
"12613","2891",2,707717,209982,157440,166401,121809,184516,134684,0.428499110015187,0.422639741854897,0.421942355889724,1,1,1,0
"12614","2891",3,706259,176057,167370,142851,129047,156114,143482,0.487352479566254,0.474615480805302,0.478918276612505,2,2,2,0
"12615","2891",5,705643,193916,187228,157442,151856,172108,164492,0.491226413114204,0.490969873714023,0.488686868686869,3,3,3,0
"12616","2891",4,706252,164895,223267,141763,169866,151887,190022,0.575190255614924,0.545090476175195,0.555767762767286,4,4,4,1
"12617","2891",6,706927,141897,214505,121134,160548,129900,181366,0.601862503577421,0.569961871898098,0.582672055412413,5,5,5,1
"12618","2891",1,704458,60652,318284,58034,250426,59691,278367,0.839941309350392,0.811858912014524,0.823429707328328,6,6,6,1
"12619","2892",3,704700,202264,166822,161366,128547,178399,142399,0.451986799824431,0.44339853680242,0.443889924500776,1,1,1,0
"12620","2892",2,706523,202752,179487,163468,146397,179228,158205,0.46956746956747,0.472454133251577,0.46884863069113,2,2,2,0
"12621","2892",6,703449,173142,176976,141867,136878,154459,152024,0.505475296899902,0.491050960555346,0.496027512129547,3,3,3,0
"12622","2892",5,708547,171721,197146,142327,150184,154801,167817,0.534463641366671,0.513430264161006,0.520172464028665,4,4,4,1
"12623","2892",1,705821,137312,219055,118761,163827,126671,185032,0.614689351146431,0.579737993120727,0.593616359162408,5,5,5,1
"12624","2892",4,708216,60209,328610,59835,257718,60659,286936,0.84514902821107,0.811574760748599,0.825489434543075,6,6,6,1
"12625","2893",2,708374,217006,160689,173441,130637,190989,140974,0.425446458120971,0.429616743072501,0.424667809364297,1,1,1,0
"12626","2893",6,702849,188010,185620,151393,144306,166638,159630,0.49680164868988,0.488016530323065,0.489260362646659,2,2,2,0
"12627","2893",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"12628","2893",3,706174,141279,212959,120604,158754,129392,179582,0.601174916299211,0.568281559862256,0.581220426314188,4,4,4,1
"12629","2893",4,707483,153398,246633,134319,189324,142953,211317,0.616534718559312,0.584977892307264,0.596485731221949,5,5,5,1
"12630","2893",1,704834,76434,287799,67160,225742,71330,251122,0.790150810058397,0.770708291510471,0.778788780965849,6,6,6,1
"12631","2894",1,706558,206702,164621,164964,125502,182321,139612,0.44333639445981,0.432071223482266,0.433667874992623,1,1,1,0
"12632","2894",6,704665,198313,181688,159870,149442,175307,160992,0.478125057565638,0.483143234016139,0.478716856131002,2,2,2,0
"12633","2894",5,707542,171273,174396,140708,134789,152914,149787,0.504517327269729,0.489257596271466,0.494834837017387,3,3,3,0
"12634","2894",4,707434,173106,213096,143973,164368,156479,182800,0.551773424270201,0.533072150638417,0.538789609731224,4,4,4,1
