draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
4654,1,730383,588583,0.0037759290,0.9577,0.25603,64008,138172,12576, 852,294696,72648,2446,144985,44101,121172,10397, 748,257589,51926,1957,100693,136950,67474,156859,49540,137247,59666,123375,68089,185543, 97038,58505,146904,63873,130310, 97038,185543,1,1,147993,68362,0.6840,0.6856,1,2,0,-0.1179
4654,2,724888,567322,0.0037759290,0.9577,0.06869,74915,176193, 9301,1469,236862,76406,2837,146905,49006,154452, 7662,1252,200679,53292,2267, 98712,129946,61372,149750,43107,139069,52365,121558,63638,180585, 99826,52228,139843,57992,130312, 99826,180585,1,1,144184,64062,0.6924,0.6965,1,2,0,-0.1179
4655,1,724406,566486,0.0044383486,0.9449,0.31720,72101,122136,13740, 777,285172,75420,2214,152846,47858,104867,11287, 667,243130,53427,1741,103509,118120,66725,139728,47363,120747,59129,106725,68836,160739,102832,57038,128924,63976,113735,102832,160739,1,1,129213,68977,0.6520,0.6550,1,2,0,-0.1179
4655,2,730865,589419,0.0044383486,0.9449,0.06998,66822,192229, 8137,1544,246386,73634,3069,139044,45249,170757, 6772,1333,215138,51791,2483, 95896,148775,62122,166881,45284,155569,52902,138209,62890,205389, 94032,53694,157824,57888,146887, 94032,205389,1,1,162964,63447,0.7198,0.7223,1,2,0,-0.1179
4656,1,724833,569939,0.0038515163,0.9537,0.34833,72708,134020,14480, 788,279295,68560,2454,152528,48544,115030,11817, 686,239578,49223,1949,103112,123975,67657,145201,48816,126832,60466,113032,69731,170205,102004,58232,134586,65092,119931,102004,170205,1,1,135849,69734,0.6608,0.6632,1,2,0,-0.1179
4656,2,730438,585966,0.0038515163,0.9537,0.07092,66215,180345, 7397,1533,252263,80494,2829,139362,44563,160594, 6242,1314,218690,55995,2275, 96293,142921,61189,161408,43831,149484,51566,131901,61996,195923, 94860,52500,152161,56772,140691, 94860,195923,1,1,156328,62690,0.7138,0.7168,1,2,0,-0.1179
4657,1,729122,565398,0.0020429185,0.9641,0.37064,74688,121003,16180, 815,288130,76521,2196,149589,49298,101489,12949, 712,244506,53860,1728,100856,109326,62453,130285,43447,112582,55000, 99181,64524,149430, 98865,52946,119804,59753,105880, 98865,149430,1,1,120161,64857,0.6495,0.6532,1,2,0,-0.1179
4657,2,726149,590507,0.0020429185,0.9641,0.07156,64235,193362, 5697,1506,243428,72533,3087,142301,43809,174135, 5110,1288,213762,51358,2496, 98549,157570,66393,176324,49200,163734,57032,145752,67202,216699, 97999,57787,166943,62111,154742, 97999,216699,1,1,172016,67567,0.7180,0.7200,1,2,0,-0.1179
4658,1,724785,563925,0.0039174834,0.9704,0.44538,75331,130805,16177, 825,275353,70037,2292,153965,49730,110145,12945, 718,234717,50119,1795,103756,116729,66983,138613,47508,119965,59401,106380,68761,160225,102683,57240,127669,64073,113171,102683,160225,1,1,128382,69066,0.6502,0.6532,1,2,0,-0.1179
4658,2,730486,591980,0.0039174834,0.9704,0.07310,63592,183560, 5700,1496,256205,79017,2991,137925,43377,165479, 5114,1282,223551,55099,2429, 95649,150167,61863,167996,45139,156351,52631,138554,62966,205903, 94181,53493,159079,57792,147451, 94181,205903,1,1,163795,63358,0.7211,0.7237,1,2,0,-0.1179
