draw,district,total_pop,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
1463,1,551097,438306,0.0043877275,0.9368,0.4389,133803,319258,38510,1565,22137,149,7481,28194, 92559,272589,28718,1184,18596,114,5536,19010,116884, 76969,102777,59062, 88082,58001,119284,109029,48938,134269, 87766,143144, 70433, 76969,116884,55334,104792, 79101,138707,2,4,116210, 66862,0.6348,0.6344,1.0000,2.000,0,-0.25606
1463,2,546282,449288,0.0043877275,0.9368,0.2666, 48298,434792,16876,1948,16230,171,3911,24056, 33429,369846,13206,1515,12816,141,2917,15418,135641,103573,128700,85358,110040,81932,155067,138247,70355,173216,112156,185430, 94421,103573,135641,79214,133014,103288,179322,2,4,146620, 91299,0.6163,0.6123,1.0000,2.000,0,-0.25606
1464,1,548427,440114,0.0004784127,0.9359,0.2433,109611,337707,38158,1451,21330,161,8531,31478, 76167,288443,28676,1118,17976,124,6415,21195,125100, 73107,111084,56757, 97053,54038,126688,117349,46481,147282, 82063,154558, 66196, 73107,125100,52426,113043, 74131,150920,3,2,125587, 63107,0.6656,0.6657,1.0000,2.000,0,-0.25606
1464,2,548952,447480,0.0004784127,0.9359,0.3336, 72490,416343,17228,2062,17037,159,2861,20772, 49821,353992,13248,1581,13436,131,2038,13233,127426,107435,120393,87663,101069,85895,147662,129927,72812,160204,117859,174016, 98659,107435,127426,82123,124763,108259,167109,3,2,137243, 95054,0.5908,0.5862,1.0000,2.000,0,-0.25606
1465,1,549106,438504,0.0007590814,0.9143,0.1922,127794,314072,41098,1626,24812,163,8593,30948, 88810,269893,30971,1258,20254,128,6401,20789,123225, 70968,108488,54925, 91683,56729,124078,114203,45295,142686, 79364,150818, 62826, 70968,123225,52317,109613, 71096,146752,2,3,122169, 61684,0.6645,0.6635,1.0000,2.000,0,-0.25606
1465,2,548273,449090,0.0007590814,0.9143,0.2453, 54307,439978,14288,1887,13555,157,2799,21302, 37178,372542,10953,1441,11158,127,2052,13639,129300,109574,122989,89496,106439,83204,150272,133073,73997,164800,120558,177756,102029,109574,129300,82232,128193,111294,171278,2,3,140661, 96477,0.5932,0.5895,1.0000,2.000,0,-0.25606
1466,1,546276,434094,0.0043986626,0.9654,0.4558,147677,289441,44345,1675,23451,168,8771,30748,102716,249696,33144,1286,19718,130,6521,20883,119636, 63045,103524,47406, 90075,46394,115888,108329,38907,135721, 71656,142476, 55881, 63045,119636,44236,104454, 63770,139099,1,2,116521, 53881,0.6838,0.6849,1.0000,2.000,0,-0.25606
1466,2,551103,453500,0.0043986626,0.9654,0.3247, 34424,464609,11041,1838,14916,152,2621,21502, 23272,392739, 8780,1413,11694,125,1932,13545,132890,117497,127953,97015,108047,93539,158462,138947,80385,171765,128266,186097,108974,117497,132890,90312,133352,118620,178930,1,2,146309,104280,0.5839,0.5787,1.0000,2.000,0,-0.25606
1467,1,550270,433906,0.0028804998,0.9212,0.2526,144219,307978,40526,1535,20951,156,7332,27573, 99700,262524,29930,1140,16853,117,5355,18287,113086, 79150, 98969,60726, 82313,62101,116813,105188,50608,130450, 89819,140009, 71465, 79150,113086,57812,100820, 80644,135230,2,3,112404, 68978,0.6197,0.6179,1.0000,2.000,0,-0.25606
1467,2,547109,453688,0.0028804998,0.9212,0.2178, 37882,446072,14860,1978,17416,164,4060,24677, 26288,379911,11994,1559,14559,138,3098,16141,139440,101392,132509,83694,115809,77832,157537,142088,68684,177036,110102,188564, 93390,101392,139440,76737,136986,101746,182799,2,3,150426, 89183,0.6278,0.6249,1.0000,2.000,0,-0.25606
